Reference	ID	Tags	SupportReference	Quote	OrigQuote	Occurrence	Note
3:8	v7at		rc://*/ta/man/translate/figs-metaphor	my servant the Branch	אֶת עַבְדִּ֖⁠י צֶֽמַח	0	The word “Branch” refers to a messianic figure that would serve as king over Yahweh’s people. Yahweh speaks of this person as if he were a branch that grows out from a tree. Since the word “Branch” is a title, it should be translated with an equivalent word in your language.
3:9	m5hy			the stone that I have set before Joshua	הָ⁠אֶ֗בֶן אֲשֶׁ֤ר נָתַ֨תִּי֙ לִ⁠פְנֵ֣י יְהוֹשֻׁ֔עַ	0	Here the word “stone” likely refers to a precious stone or jewel.
3:9	i5c3		rc://*/ta/man/translate/figs-metaphor	There are seven eyes on this single stone	~שִׁבְעָ֣ה עֵינָ֑יִם עַל אַחַ֖ת אֶ֥בֶן	0	The sides or facets of the stone that reflect light are spoken of as if they are eyes. Alternate translation: “There are seven sides on this single stone”
3:9	l4bw			engrave	מְפַתֵּ֣חַ	0	Alternate translation: “carve”
3:9	i5q1		rc://*/ta/man/translate/figs-metonymy	I will remove the sin from this land in one day	~וּ⁠מַשְׁתִּ֛י אֶת עֲוֺ֥ן הָ⁠אָֽרֶץ הַ⁠הִ֖יא הָ⁠אָֽרֶץ אֶחָֽד בְּ⁠י֥וֹם	0	Here the word “land” represents the people who live in the land. Alternate translation: “I will remove the sin of the people from this land in one day”
3:10	a257		rc://*/ta/man/translate/figs-explicit	each man will invite his neighbor to sit under his vine and under his fig tree	~אִ֣ישׁ תִּקְרְא֖וּ לְ⁠רֵעֵ֑⁠הוּ אֶל תַּ֥חַת גֶּ֖פֶן וְ⁠אֶל תַּ֥חַת תְּאֵנָֽה	0	Both the “vine” and the “fig tree” are symbols of prosperity. This phrase describes actions in which people live prosperously and in peace. Alternate translation: “because they will be at peace, each person will invite his neighbor to come and sit under his vine and his fig tree”
4:intro	if68					0	# Zechariah 4 General Notes\n\n## Structure and formatting\n\nThis chapter is written mainly in prose about the fifth vision, which is about the golden lampstand olive trees.\n\n## Special concepts in this chapter\n\n### Visions\n\nThis chapter shows a conversation between Zechariah and the angel of Yahweh. It is important for each of these visions to keep their meanings and not be interpreted to mean any specific thing.
4:1	g1iy		rc://*/ta/man/translate/figs-simile	roused me like a man roused from his sleep	~	0	Zechariah compares the way in which the angel interrupted his being in deep thought with the way someone would awaken another person from sleep. Alternate translation: “caused me to become more alert like a man awakened from his sleep”
4:2	nj7i			lamp wicks	~	0	the parts of a lamp that are lit on fire
4:3	n5h3		rc://*/ta/man/translate/figs-ellipsis	the left side	שְׂמֹאלָֽ⁠הּ	0	The ellipsis in this phrase may be supplied from the previous phrase. Alternate translation: “the left side of the bowl”
4:5	d96u		rc://*/ta/man/translate/figs-rquestion	Do you not know what these things mean?	~הֲ⁠ל֥וֹא יָדַ֖עְתָּ מָה אֵ֑לֶּה	0	The angel asks this rhetorical question to emphasize that Zechariah should have known what these things mean. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “Surely you know what these things mean.”
4:6	gn9k			Connecting Statement:	~	0	# Connecting Statement:\n\nThe angel who speaks with Zechariah continues to explain the vision.
4:6	y1pw		rc://*/ta/man/translate/figs-explicit	Not by might nor by power	לֹ֤א בְ⁠חַ֨יִל֙ וְ⁠לֹ֣א בְ⁠כֹ֔חַ	0	Since there is no verb in this phrase, it may be necessary in your language to supply one. Alternate translation: “You will not succeed by might nor by power”
4:6	wt9s		rc://*/ta/man/translate/figs-doublet	Not by might nor by power	לֹ֤א בְ⁠חַ֨יִל֙ וְ⁠לֹ֣א בְ⁠כֹ֔חַ	0	This could mean: (1) that the words “might” and “power” mean basically the same thing and emphasize the greatness of Zerubbabel’s strength or (2) that the word “might” refers to military strength and the word “power” refers to Zerubbabel’s physical ability. Alternate translation: “Certainly not by your own strength” or “Not by military strength nor by your own power”
4:7	abe2		rc://*/ta/man/translate/figs-metaphor	What are you, great mountain? Before Zerubbabel you will become a plain	~	0	This is a metaphor in which Yahweh speaks of the obstacles that Zerubbabel will face as if they were a large mountain. He asks this rhetorical question to emphasize that these obstacles pose no threat to Zerubbabel’s success. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “You are nothing, great mountain! Zerubbabel will cause you to become a plain” or “Although obstacles may appear as large as mountains, Zerubbabel will overcome them as easily as one walks upon level ground” (See also: [[rc://*/ta/man/translate/figs-rquestion]])
4:7	k6l1		rc://*/ta/man/translate/figs-explicit	he will bring out the top stone	~וְ⁠הוֹצִיא֙ אֶת הָ⁠אֶ֣בֶן הָ⁠רֹאשָׁ֔ה אֶת הָ⁠אֶ֣בֶן	0	The top stone is the last stone placed when building something. This refers to the top stone of the temple. Alternate translation: “he will bring out the top stone of the temple” or “he will complete the construction of the temple”
4:7	cbj6		rc://*/ta/man/translate/figs-explicit	to shouts of ‘Grace! Grace to it!’	תְּשֻׁא֕וֹת חֵ֥ן חֵ֖ן לָֽ⁠הּ	0	This could mean: (1) the word “grace” refers to God’s grace and the people are requesting that God bless the completed temple. Alternate translation: “while people shout, ‘May God bless it! May God bless it!’” or (2) the word “grace” refers to beauty and the people are declaring how beautiful the completed temple is. Alternate translation: “while people shout, ‘Beautiful! It is beautiful!’”
4:8	j4n7			Connecting Statement:	~	0	# Connecting Statement:\n\nThe angel who speaks with Zechariah continues to explain the vision.
4:8	lpf1		rc://*/ta/man/translate/figs-idiom	The word of Yahweh came to me, saying	~דְבַר יְהוָ֖ה וַ⁠יְהִ֥י אֵלַ֥⁠י לֵ⁠אמֹֽר	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message to me. He said” or “Yahweh spoke this message to me”
4:9	z7ve		rc://*/ta/man/translate/figs-synecdoche	The hands of Zerubbabel have laid … his hands will bring it to completion	~	0	Here the word “hands” represents Zerubbabel. Alternate translation: “Zerubbabel has laid … he will bring it to completion”
4:9	gn3u		rc://*/ta/man/translate/figs-metonymy	the foundation of this house	~הַ⁠זֶּ֖ה הַ⁠בַּ֥יִת	0	The word “house” represents the temple. Alternate translation: “the foundation of this temple”
4:10	w6q1		rc://*/ta/man/translate/figs-rquestion	Who has despised the day of small things? These people will rejoice	~	0	Zechariah uses this rhetorical question to speak specifically about those who have “despised the day of small things.” If it would be helpful in your language, you could express this question as a statement. Alternate translation: “Those who have despised the day of small things will rejoice”
4:10	a9tc		rc://*/ta/man/translate/figs-explicit	the day of small things	לְ⁠י֣וֹם קְטַנּוֹת֒	0	“the time of small things.” This phrase refers to the time when the people were building the temple and appeared to be making little progress. Alternate translation: “the time when progress was slow”
4:10	t9lp			plumb stone	~הַ⁠בְּדִ֛יל אֶת הָ⁠אֶ֧בֶן	0	This refers to an instrument made with a heavy object attached to the end of a string that builders used to ensure that the walls of buildings were straight.
4:10	ym4q			These seven lamps	~	0	This phrase refers to the lamps that Zechariah saw in [Zechariah 4:2–3](./02.md).
4:10	xm5j		rc://*/ta/man/translate/writing-symlanguage	These seven lamps are the eyes of Yahweh that roam over the whole earth	~	0	The seven lamps symbolize the eyes of Yahweh, but they are not literally the eyes of Yahweh. The angel speaks of Yahweh seeing everything that happens on the earth as if his eyes roamed over the whole earth. Alternate translation: “These seven lamps represent the eyes of Yahweh, who sees everything that happens on the earth” (See also: [[rc://*/ta/man/translate/figs-metaphor]])
4:11	ac36			these two olive trees	~הָ⁠אֵ֔לֶה שְּׁנֵ֤י הַ⁠זֵּיתִים֙	0	This refers to the olive trees that Zechariah saw in [Zechariah 4:2–3](./02.md).
4:12	t7zp			What are these two olive branches	~	0	Here Zechariah changes his question and asks about branches that are connected to the two olive trees.
4:12	brf2			the two gold pipes	~שְׁנֵי֙ הַ⁠זָּהָֽב צַנְתְּר֣וֹת	0	These pipes were not mentioned in the previous description of Zechariah’s vision. It is possible that they are connected to the bowl on top of the lampstand and provide the oil with which the lampstand burns.
4:12	mv5r			golden oil	~	0	Here “golden” refers to the color of the oil and does not mean that the oil was made of gold.
4:13	anh7		rc://*/ta/man/translate/figs-rquestion	Do you not know what these are?	~	0	The angel asks this rhetorical question to emphasize that Zechariah should have known what these things mean. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “Surely you know what these are.”
4:14	rx28		rc://*/ta/man/translate/writing-symlanguage	These are the sons of fresh olive oil	~	0	The branches symbolize these people, but they are not literally the people. Alternate translation: “These two branches represent the sons of fresh olive oil”
4:14	j7gl		rc://*/ta/man/translate/figs-idiom	the sons of fresh olive oil	~	0	This idiom means that these men have been anointed with fresh olive oil. A person who is anointed is one whom Yahweh has chosen or appointed for a special duty. Alternate translation: “the anointed men” or “the men whom Yahweh has appointed”
4:14	a6x2		rc://*/ta/man/translate/figs-idiom	who stand before the Lord	הָ⁠עֹמְדִ֖ים עַל אֲד֥וֹן	0	The idiom “stand before” means to be in a person’s presence and to serve him. Alternate translation: “who serve the Lord”
5:intro	x2ef					0	# Zechariah 5 General Notes\n\n## Structure and formatting\n\nThis chapter contains the next two visions. One is about a flying scroll and one is about the basket filled with iniquity. (See: [[rc://*/tw/dict/bible/kt/iniquity]])
5:1	xqx2			Then I turned	וָ⁠אָשׁ֕וּב	0	The word “I” refers to Zechariah.
5:1	gf8m		rc://*/ta/man/translate/figs-synecdoche	lifted my eyes	וָ⁠אֶשָּׂ֥א עֵינַ֖⁠י	0	The word “eyes” represents the person who looks. Alternate translation: “looked up”
5:1	ynu9			behold	וְ⁠הִנֵּ֖ה	0	The word “behold” here shows that Zechariah was surprised by what he saw.
5:2	gh1w		rc://*/ta/man/translate/translate-bdistance	twenty cubits long and ten cubits wide	~עֶשְׂרִ֣ים בָּֽ⁠אַמָּ֔ה אָרְכָּ⁠הּ֙ עֶ֥שֶׂר בָּ⁠אַמָּֽה וְ⁠רָחְבָּ֖⁠הּ	0	A cubit is 46 centimeters. Alternate translation: “9.2 meters long and 4.6 meters wide”
5:3	lv5p		rc://*/ta/man/translate/figs-metonymy	This is the curse	~	0	The word “this” refers to the scroll. The scroll is a metonym for what is written on the scroll. Alternate translation: “On this scroll is the curse”
5:3	mys3		rc://*/ta/man/translate/figs-idiom	that goes out over the surface of the whole land	~הַ⁠יּוֹצֵ֖את עַל פְּנֵ֣י כָל הָ⁠אָ֑רֶץ כָל הָ⁠אָ֑רֶץ	0	The phrase “the surface of the whole land” refers to every place within the land. It is implied that the curse will apply to every person who lives in the land. Alternate translation: “that is upon every person within the whole land” (See also: [[rc://*/ta/man/translate/figs-explicit]])
5:3	iha6		rc://*/ta/man/translate/figs-metaphor	every thief will be cut off … everyone who swears a false oath will be cut off	~	0	Yahweh removing these people from the land is spoken of as if he were cutting them off, like a person would cut a branch from a tree. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “Yahweh will cut off every thief … Yahweh will cut off everyone who swears a false oath” or “Yahweh will remove every thief from the land … Yahweh will remove from the land everyone who swears a false oath” (See also: [[rc://*/ta/man/translate/figs-activepassive]])
5:3	pu8h			what it says on the one side … what it says on the other side	~	0	Alternate translation: “what the scroll says on one side … what the scroll says on the other side”
5:4	jt2j			I will send it out	הוֹצֵאתִ֗י⁠הָ	0	Alternate translation: “I will send out the curse”
5:4	alf7		rc://*/ta/man/translate/figs-123person	this is the declaration of Yahweh of hosts	נְאֻם֙ יְהוָ֣ה צְבָא֔וֹת	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated this in [Zechariah 1:3](../01/03.md). Alternate translation: “this is what Yahweh of hosts has declared” or “this is what I, Yahweh of hosts, have declared”
5:4	y2v5		rc://*/ta/man/translate/figs-metaphor	consume its timber and stones	~	0	The curse destroying the houses of the thief and of the one who swears falsely is spoken of as if the curse would consume the building materials that people had used to build the houses. Alternate translation: “destroy its wood and stones” or “completely destroy it” (See also: [[rc://*/ta/man/translate/figs-synecdoche]])
5:5	j4s3		rc://*/ta/man/translate/figs-synecdoche	Raise your eyes	~	0	The word “eyes” represents the person who looks. Alternate translation: “Look up”
5:6	mb23		rc://*/ta/man/translate/translate-bvolume	This is a basket containing an ephah that is coming	~	0	An “ephah” is a unit of measurement for dry materials and is equal to 22 liters. Here the word is a metonym for the container that would hold an ephah of dry material. Alternate translation: “This is a measuring basket that is coming” or “This is a large container that is coming” (See also: [[rc://*/ta/man/translate/figs-metonymy]])
5:6	bcy6		rc://*/ta/man/translate/writing-symlanguage	This is their iniquity in the whole land	~	0	The basket symbolizes the people’s iniquity, but it is not literally their iniquity. Alternate translation: “This basket represents the iniquity of the people throughout the whole land”
5:7	un6a		rc://*/ta/man/translate/figs-activepassive	a lead covering was lifted off the basket	~	0	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: someone lifted a lead covering off the basket”
5:7	nn4h			there was a woman under it sitting in it	~	0	Alternate translation: “there was a woman under the lead covering sitting in the basket”
5:8	xg5w		rc://*/ta/man/translate/writing-symlanguage	This is Wickedness	~	0	The woman represents wickedness. Alternate translation: “This woman represents wickedness”
5:8	glc2			He threw her … he threw the lead cover	~	0	“He thrust her … he forced the lead cover.” The word “threw” indicates the force with which the angel did these things. He did not literally throw the woman or the cover.
5:9	zcp4		rc://*/ta/man/translate/figs-synecdoche	I lifted my eyes	וָ⁠אֶשָּׂ֨א עֵינַ֜⁠י	0	Here the word “eyes” represents the person who sees. Alternate translation: “I looked up”
5:9	mt2r		rc://*/ta/man/translate/figs-idiom	wind was in their wings	וְ⁠ר֣וּחַ בְּ⁠כַנְפֵי⁠הֶ֔ם	0	This idiom means that they were flying. Alternate translation: “they were flying”
5:9	gde6			they had wings like a stork’s wings	~וְ⁠לָ⁠הֵ֥נָּה כְנָפַ֖יִם הַ⁠חֲסִידָ֑ה כְּ⁠כַנְפֵ֣י	0	A stork is a type of large bird that has a wingspan of two to four meters. Zechariah compares the size of the women’s wings with the size of the stork’s wings.
5:9	xf59		rc://*/ta/man/translate/figs-merism	They lifted up the basket between earth and heaven	~	0	The words “earth” and “heaven” form a merism that refer to the sky. It is implicit that the two women flew away with the basket. Alternate translation: “They lifted the basket up into the sky and flew away” (See also: [[rc://*/ta/man/translate/figs-explicit]])
5:11	dyi3		rc://*/ta/man/translate/figs-ellipsis	To build a temple in the land of Shinar for it	~	0	The ellipsis can be supplied from the previous verse. Alternate translation: “They are taking the basket to the land of Shinar to build a temple for it”
5:11	un6q		rc://*/ta/man/translate/figs-activepassive	the basket will be set there	~	0	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “they will set the basket there”
5:11	gtm8			on its prepared base	~	0	The words “prepared base” refer to a pedestal or other kind of fixture upon which they will place the basket.
6:intro	z96r					0	# Zechariah 6 General Notes\n\n## Structure and formatting\n\nThis chapter is written mainly in prose and tells the last vision of the four chariots in the first part of the chapter.\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetic song in 6:12–13.\n\n## Special concepts in this chapter\n\n### Crown\n\nThe second part of the chapter is about a crown made for the high priest. This is an actual person, but the meaning of the word “branch” should be translated as his name. (See: [[rc://*/tw/dict/bible/kt/highpriest]])\n\n## Other possible translation difficulties in this chapter\n\n### Meaning of the visions\n\nThe visions are stated and even when the prophet asked for an explanation, their true meaning is often obscure. This uncertainty should remain in your translation. (See: [[rc://*/tw/dict/bible/kt/prophet]])
6:1	wvi1		rc://*/ta/man/translate/figs-synecdoche	lifted my eyes	וָ⁠אֶשָּׂ֤א עֵינַ⁠י֙	0	Here the word “eyes” represents the person who sees. Alternate translation: “looked up”
6:1	zj81			between two mountains; and the two mountains were made of bronze	~	0	Since the second phrase describes the mountains in the first phrase, the two phrases may be combined. Alternate translation: “between two bronze mountains”
6:2	tw1y		rc://*/ta/man/translate/figs-explicit	The first chariot had red horses	~הָ⁠רִֽאשֹׁנָ֖ה בַּ⁠מֶּרְכָּבָ֥ה סוּסִ֣ים אֲדֻמִּ֑ים סוּסִ֣ים	0	It is implicit that the horses were pulling the chariots. Alternate translation: “The first chariot had red horses pulling it” or “Red horses were pulling the first chariot”
6:5	j43m		rc://*/ta/man/translate/writing-symlanguage	These are the four winds of heaven	~	0	The chariots symbolize the four winds of heaven, but they are not literally the four winds. Alternate translation: “These chariots represent the four winds of heaven”
6:5	cai5			the four winds of heaven	~	0	This phrase refers to the four directions from which the wind blows: north, east, south, and west. However, some modern versions interpret this Hebrew expression to mean “four spirits.”
6:5	u5ms		rc://*/ta/man/translate/figs-idiom	standing before the Lord of all the earth	~	0	The idiom to “stand before” means to be in a person’s presence and to serve him. See how you translated this in [Zechariah 4:14](../04/14.md). Alternate translation: “serving the Lord of all the earth”
6:6	v88q			the white horses are going out to the west country	~	0	Some modern versions interpret this Hebrew phrase to mean “the white horses are going out after them,” that is, following the black horses to the north country.
6:6	g5r6		rc://*/ta/man/translate/figs-metonymy	the white horses are … the spotted gray horses are	~	0	Here the horses represent the chariots that they pull. Alternate translation: “the chariot with the white horses is … the chariot with the spotted gray horses is”
6:8	ny4a			he called out to me	וַ⁠יַּזְעֵ֣ק אֹתִ֔⁠י	0	Alternate translation: “the angel called out to me”
6:8	n3x1			Look at the ones	רְאֵ֗ה הַ⁠יּֽוֹצְאִים֙	0	Alternate translation: “Look at the black horses”
6:8	c7ix		rc://*/ta/man/translate/figs-metonymy	they will appease my spirit concerning the north country	~	0	The words “my spirit” refer to Yahweh, so many translations change this to read “Yahweh’s spirit.” This could mean: (1) the word “spirit” represents Yahweh’s emotions and appeasing his spirit means that the chariots will cause Yahweh no longer to be angry with the north country Alternate translation: “they will calm my anger concerning the north country” or (2) the word “spirit” represents Yahweh’s presence and the chariots will cause the Jews who live in the north land to experience Yahweh’s blessings. Alternate translation: “they will cause my spirit to rest in the north country”
6:9	jej6		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came to me, saying	~דְבַר יְהוָ֖ה וַ⁠יְהִ֥י אֵלַ֥⁠י לֵ⁠אמֹֽר	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message to me. He said” or “Yahweh spoke this message to me”
6:10	fez9		rc://*/ta/man/translate/translate-names	Heldai, Tobijah, and Jedaiah	~	0	These are the names of men.
6:10	m87p			this same day	הַ⁠ה֔וּא	0	Alternate translation: “today”
6:11	f66i		rc://*/ta/man/translate/translate-names	Jehozadak	יְהוֹצָדָ֖ק	0	This is the name of a man.
6:11	x4hk			take the silver and gold, make a crown	~	0	Alternate translation: “make a crown with the silver and gold”
6:12	wn66			Speak to him and say	~	0	Alternate translation: “Speak to Joshua and say”
6:12	ihw2		rc://*/ta/man/translate/figs-metaphor	his name is Branch	~	0	The word “Branch” refers to a messianic figure that would serve as king over Yahweh’s people. Yahweh speaks of this person as if he were a branch that grows out from a tree. Since the word “Branch” is a title, it should be translated with an equivalent word in your language. See how you translated this name in [Zechariah 3:8](../03/08.md).
6:12	w53q		rc://*/ta/man/translate/figs-metaphor	He will grow up where he is	~	0	The phrase “grow up” refers to the growth of a plant, and so continues the metaphor of this person as a “Branch.” This likely refers to this person appearing or coming into power as the one who would supervise the rebuilding of the temple.
6:13	lm52			He will be a priest on his throne	~	0	This could mean: (1) the “Branch” will be both priest and king or (2) the “Branch” will be king, and another person will be a priest who will share the royal power. Alternate translation: “There will be a priest upon his throne”
6:13	uyq6			he will bear a counsel of peace between the two	~	0	The words “the two” refer to the roles of king and priest. The meaning of this phrase depends upon the meaning of the previous phrase. This could mean: (1) the “Branch” will faithfully carry out his duties as both priest and king and not forsake one in order to fulfill the other or (2) the “Branch” who serves as king and the other person who serves as a priest will each carry out their duties faithfully and they will work together in peace.
6:14	ea75		rc://*/ta/man/translate/figs-activepassive	The crown will given	~	0	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “You will give the crown”
6:14	xn98		rc://*/ta/man/translate/translate-names	Heldai, Tobijah, Jedaiah … Hen	~	0	These are the names of men. See how you translated these in [Zechariah 6:10](../06/10.md).
6:14	f3px			for Hen son of Zephaniah as a memorial	~	0	Some modern versions interpret this phrase as “as a memorial to the generosity of the son of Zephaniah” or “as a memorial to the one who is gracious, the son of Zephaniah.” Also, some modern versions interpret the name “Hen” as meaning the name “Josiah.”
6:15	e6jp		rc://*/ta/man/translate/figs-explicit	those who are far off	וּ⁠רְחוֹקִ֣ים	0	This refers to the Israelites who remain in Babylon.
6:15	u2bz		rc://*/ta/man/translate/figs-you	so you will know	וִ⁠ידַעְתֶּ֕ם	0	The word “you” is plural and refers to the people of Israel.
6:15	zqz3		rc://*/ta/man/translate/figs-metonymy	truly listen to the voice of Yahweh your God	שָׁמ֣וֹעַ תִּשְׁמְע֔וּ⁠ן בְּ⁠ק֖וֹל יְהוָ֥ה אֱלֹהֵי⁠כֶֽם	0	Here to “listen” means to obey and the word “voice” represents the words that Yahweh speaks. Alternate translation: “truly obey what Yahweh your God says”
7:intro	meb2					0	# Zechariah 7 General Notes\n\n## Structure and formatting\n\nThis chapter starts about two years after the previous chapter and is written in prose.\n\nSome translations prefer to set apart quotations. The ULT and many other English translations set the lines of 7:4–14, which is an extended quotation, farther to the right on the page than the rest of the text.\n\n## Special concepts in this chapter\n\n### Fasting\n\nThis chapter discusses fasting. People were asking the same questions as those from previous generations. The Israelites were asking these same questions before they were exiled from their land.
7:1	v1rz		rc://*/ta/man/translate/translate-ordinal	on the fourth day	~	0	“on day 4”
7:1	vut4		rc://*/ta/man/translate/translate-hebrewmonths	Kislev (which was the ninth month)	~	0	“Kislev” is the ninth month of the Hebrew calendar. The fourth day of Kislev is near the end of November on Western calendars. (See also: [[rc://*/ta/man/translate/translate-names]])
7:1	t9mu		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came to Zechariah	~דְבַר יְהוָ֜ה הָיָ֨ה אֶל זְכַרְיָ֗ה	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message to Zechariah” or “Yahweh spoke this message to Zechariah”
7:2	sb2z		rc://*/ta/man/translate/translate-names	Sharezer and Regem-Melek	~שַׂר אֶ֕צֶר אֵ֔ל	0	These are the names of men.
7:2	y9hy			beg	לְ⁠חַלּ֖וֹת	0	Here the word “beg” means to plead or ask urgently.
7:2	b1wi		rc://*/ta/man/translate/figs-metonymy	before the face of Yahweh	פְּנֵ֥י יְהוָֽה	0	Here “face” is a metonym for Yahweh’s presence. Alternate translation: “in the presence of Yahweh”
7:3	kg2p			They spoke … they said	~	0	The word “they” refers to Sharezer and Regem Melek.
7:3	ty6c		rc://*/ta/man/translate/translate-ordinal	Should I mourn in the fifth month	~כַּ⁠מֶּ֥ה הַֽ⁠אֶבְכֶּה֙ הַ⁠חֲמִשִׁ֔י בַּ⁠חֹ֣דֶשׁ	0	“Should I mourn in month 5.” The assumed knowledge is that the Jewish people fasted during a part of the fifth month of the Hebrew calendar because this is when the Babylonians destroyed the temple in Jerusalem. The fifth month is during the last part of July and the first part of August on Western calendars. (See also: [[rc://*/ta/man/translate/figs-explicit]] and [[rc://*/ta/man/translate/translate-hebrewmonths]])
7:3	i8ej			by means of a fast	הִנָּזֵ֕ר	0	Alternate translation: “by fasting”
7:4	g84y		rc://*/ta/man/translate/figs-idiom	the word of Yahweh of hosts came to me, saying	דְּבַר יְהוָ֥ה צְבָא֖וֹת אֵלַ֥⁠י לֵ⁠אמֹֽר	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh of hosts gave me a message. He said” or “Yahweh of hosts spoke this message to me”
7:5	wdh2		rc://*/ta/man/translate/translate-ordinal	in the fifth and in the seventh month	~	0	“in months 5 and 7”
7:5	v5v5		rc://*/ta/man/translate/figs-ellipsis	in the fifth	בַּ⁠חֲמִישִׁ֣י	0	The word “month” can be supplied in translation. Alternate translation: “in the fifth month”
7:5	tfh8		rc://*/ta/man/translate/figs-explicit	in the seventh month	~	0	The assumed knowledge is that the Jews mourned during a part of the seventh month of the Hebrew calendar because in this month the remaining Jews in Jerusalem fled to Egypt after the murder of Gedaliah, whom the king of Babylon appointed as governor over Judah. The seventh month is during the last part of September and the first part of October on Western calendars. (See also: [[rc://*/ta/man/translate/translate-hebrewmonths]])
7:5	d7zd		rc://*/ta/man/translate/figs-explicit	for these seventy years	וְ⁠זֶה֙ שִׁבְעִ֣ים שָׁנָ֔ה	0	The assumed knowledge is that the people of Israel had been slaves in Babylon for 70 years. (See also: [[rc://*/ta/man/translate/translate-numbers]])
7:5	n3dw		rc://*/ta/man/translate/figs-rquestion	were you truly fasting for me?	הֲ⁠צ֥וֹם צַמְתֻּ֖⁠נִי אָֽנִי	0	This question is asked to make the people think about what their real reason for fasting had been. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “you were not really fasting for me.”
7:6	p43p			When you ate and drank	וְ⁠כִ֥י תֹאכְל֖וּ וְ⁠כִ֣י תִשְׁתּ֑וּ	0	This could mean: (1) when they feasted and drank when celebrating religious festivals or (2) when they ate and drank whenever they were not fasting.
7:6	ax5v		rc://*/ta/man/translate/figs-rquestion	did you not eat and drink for yourselves?	~	0	This question is used to make the people think about whether they were honoring Yahweh when they ate and drank. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “it was for yourselves that you ate and drank.”
7:7	qy27		rc://*/ta/man/translate/figs-rquestion	Were these not the same words … to the west?	~	0	Yahweh uses a question to scold the people. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “These are the same words … to the west.”
7:7	dqw4		rc://*/ta/man/translate/figs-metonymy	by the mouth of the former prophets	~אֲשֶׁ֨ר הָ⁠רִֽאשֹׁנִ֔ים הַ⁠נְּבִיאִ֣ים	0	Here “mouth” is a metonym for the words spoken by the mouth. Alternate translation: “by the words of the former prophets” or “through the former prophets”
7:7	n812			you still inhabited Jerusalem	יְרוּשָׁלִַ֨ם֙	0	Alternate translation: “you still lived in Jerusalem”
7:7	vp7q			foothills	וְ⁠הַ⁠שְּׁפֵלָ֖ה	0	hills at the base of a mountain or mountain range
7:8	jsk3		rc://*/ta/man/translate/figs-idiom	The word of Yahweh came to Zechariah, saying	~דְּבַר יְהוָ֔ה וַֽ⁠יְהִי֙ אֶל זְכַרְיָ֖ה לֵ⁠אמֹֽר	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message to Zechariah. He said” or “Yahweh spoke this message to Zechariah”
7:9	v17g		rc://*/ta/man/translate/figs-abstractnouns	Judge with true justice, covenant faithfulness, and mercy	~מִשְׁפַּ֤ט אֱמֶת֙ שְׁפֹ֔טוּ וְ⁠חֶ֣סֶד לֵ⁠אמֹ֑ר וְ⁠רַֽחֲמִ֔ים	0	The abstract nouns “justice,” “faithfulness,” and “mercy” can be stated as adjectives. Alternate translation: “When you judge, be just, faithful to the covenant, and merciful”
7:9	k9pm			Let each man do this	~אִ֥ישׁ עֲשׂ֖וּ	0	The word “this” refers to how a person should judge.
7:10	b2r9			widow	וְ⁠אַלְמָנָ֧ה	0	a woman whose husband has died
7:10	za7v			orphan	וְ⁠יָת֛וֹם	0	a child whose parents have died
7:10	ht31			foreigner	גֵּ֥ר	0	someone who travels from his own land to a different land
7:10	jdb5		rc://*/ta/man/translate/figs-metonymy	let none of you plot any harm against another in your heart	~אַֽל תַּחְשְׁב֖וּ וְ⁠רָעַת֙ אָחִ֔י⁠ו בִּ⁠לְבַבְ⁠כֶֽם	0	Here “heart” represents the thoughts of a person. Alternate translation: “you must not make plans to do evil”
7:11	l8vz		rc://*/ta/man/translate/figs-metaphor	set their shoulders stubbornly	וַ⁠יִּתְּנ֥וּ כָתֵ֖ף סֹרָ֑רֶת	0	This is an image of an ox refusing to allow its owner to put a yoke on its shoulders. This metaphor represents the people being stubborn. Alternate translation: “became stubborn”
